Ідентифікатор позиції товару,Назва,Імовірність отримати кліки,Мітка фіду,Мова,Статус товару,Канали,Назва проблеми,Більше інформації про проблему,Тип трафіку,Країна,Серйозність проблеми
69601,Золота каблучка з діамантом коло «Крісті»,Низький,UA,uk,ELIGIBLE_LIMITED,"ONLINE,LOCAL",Невідповідна ціна товару,Ціна товару у фіді даних має збігатись із ціною на цільовій сторінці,Discovery Ads Discover Surface,Україна,SEVERITY_DISAPPROVED
69601,Золота каблучка з діамантом коло «Крісті»,Низький,UA,uk,ELIGIBLE_LIMITED,"ONLINE,LOCAL",Невідповідна ціна товару,Ціна товару у фіді даних має збігатись із ціною на цільовій сторінці,Discovery Ads,Україна,SEVERITY_DISAPPROVED
69601,Золота каблучка з діамантом коло «Крісті»,Низький,UA,uk,ELIGIBLE_LIMITED,"ONLINE,LOCAL",Невідповідна ціна товару,Ціна товару у фіді даних має збігатись із ціною на цільовій сторінці,Оголошення в Покупках,Україна,SEVERITY_DISAPPROVED
69601,Золота каблучка з діамантом коло «Крісті»,Низький,UA,uk,ELIGIBLE_LIMITED,"ONLINE,LOCAL",Невідповідна ціна товару,Ціна товару у фіді даних має збігатись із ціною на цільовій сторінці,"Інформація про товари, розміщена безкоштовно",Україна,SEVERITY_DISAPPROVED
69601,Золота каблучка з діамантом коло «Крісті»,Низький,UA,uk,ELIGIBLE_LIMITED,"ONLINE,LOCAL",Невідповідна ціна товару,Ціна товару у фіді даних має збігатись із ціною на цільовій сторінці,Video Ads,Україна,SEVERITY_DISAPPROVED
87237,Золотой браслет с бриллиантами круг 4 мм «Белла»,З’являться незабаром,RU,ru,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Discovery Ads Discover Surface,Україна,SEVERITY_DISAPPROVED
87237,Золотой браслет с бриллиантами круг 4 мм «Белла»,З’являться незабаром,RU,ru,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Оголошення в Покупках,Україна,SEVERITY_DISAPPROVED
87237,Золотой браслет с бриллиантами круг 4 мм «Белла»,З’являться незабаром,RU,ru,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Video Ads,Україна,SEVERITY_DISAPPROVED
87237,Золотой браслет с бриллиантами круг 4 мм «Белла»,З’являться незабаром,RU,ru,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,"Інформація про товари, розміщена безкоштовно",Україна,SEVERITY_DISAPPROVED
87237,Золотой браслет с бриллиантами круг 4 мм «Белла»,З’являться незабаром,RU,ru,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Local Organic Lite,Україна,SEVERITY_DISAPPROVED
87237,Золотой браслет с бриллиантами круг 4 мм «Белла»,З’являться незабаром,RU,ru,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Discovery Ads,Україна,SEVERITY_DISAPPROVED
87183,Золотий браслет з діамантами коло 4 мм «Белла»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,"Інформація про товари, розміщена безкоштовно",Україна,SEVERITY_DISAPPROVED
87183,Золотий браслет з діамантами коло 4 мм «Белла»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Discovery Ads,Україна,SEVERITY_DISAPPROVED
87183,Золотий браслет з діамантами коло 4 мм «Белла»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Video Ads,Україна,SEVERITY_DISAPPROVED
87183,Золотий браслет з діамантами коло 4 мм «Белла»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Оголошення в Покупках,Україна,SEVERITY_DISAPPROVED
87183,Золотий браслет з діамантами коло 4 мм «Белла»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Discovery Ads Discover Surface,Україна,SEVERITY_DISAPPROVED
87183,Золотий браслет з діамантами коло 4 мм «Белла»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Local Organic Lite,Україна,SEVERITY_DISAPPROVED
79083,Золота каблучка з діамантом емеральд «Кармен»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Оголошення в Покупках,Україна,SEVERITY_DISAPPROVED
79083,Золота каблучка з діамантом емеральд «Кармен»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,"Інформація про товари, розміщена безкоштовно",Україна,SEVERITY_DISAPPROVED
79083,Золота каблучка з діамантом емеральд «Кармен»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Discovery Ads,Україна,SEVERITY_DISAPPROVED
79083,Золота каблучка з діамантом емеральд «Кармен»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Local Organic Lite,Україна,SEVERITY_DISAPPROVED
79083,Золота каблучка з діамантом емеральд «Кармен»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Video Ads,Україна,SEVERITY_DISAPPROVED
79083,Золота каблучка з діамантом емеральд «Кармен»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Discovery Ads Discover Surface,Україна,SEVERITY_DISAPPROVED
79759,Золоті пусети з діамантами груша «Вівіан»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Discovery Ads,Україна,SEVERITY_DISAPPROVED
79759,Золоті пусети з діамантами груша «Вівіан»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,"Інформація про товари, розміщена безкоштовно",Україна,SEVERITY_DISAPPROVED
79759,Золоті пусети з діамантами груша «Вівіан»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Video Ads,Україна,SEVERITY_DISAPPROVED
79759,Золоті пусети з діамантами груша «Вівіан»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Оголошення в Покупках,Україна,SEVERITY_DISAPPROVED
79759,Золоті пусети з діамантами груша «Вівіан»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Discovery Ads Discover Surface,Україна,SEVERITY_DISAPPROVED
79759,Золоті пусети з діамантами груша «Вівіан»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Local Organic Lite,Україна,SEVERITY_DISAPPROVED
87181,Золотий браслет з діамантами коло 4 мм «Белла»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Local Organic Lite,Україна,SEVERITY_DISAPPROVED
87181,Золотий браслет з діамантами коло 4 мм «Белла»,З’являться незабаром,UA,uk,NOT_ELIGIBLE_OR_DISAPPROVED,"ONLINE,LOCAL",Зображення не оброблено,Не потрібно нічого робити. Зображення [image_link] буде оброблено знову протягом 3 днів.,Оголошення в Покупках,Україна,SEVERITY_DISAPPROVED
